type,array_length,time,try
simd_mul,11001000,0.0082218340,1
seq_mul_reduce,11001000,0.0834416910,1
simd_mul_reduce,11001000,0.0057766450,1
seq_mul,11001000,0.0550935880,2
simd_mul,11001000,0.0080951790,2
seq_mul_reduce,11001000,0.0831811240,2
simd_mul_reduce,11001000,0.0057761170,2
seq_mul,11001000,0.0549368040,3
simd_mul,11001000,0.0080160940,3
seq_mul_reduce,11001000,0.0829681250,3
simd_mul_reduce,11001000,0.0057964990,3
seq_mul,11001000,0.0551209860,4
simd_mul,11001000,0.0080920740,4
seq_mul_reduce,11001000,0.0856870690,4
simd_mul_reduce,11001000,0.0058416250,4
seq_mul,11001000,0.0550016350,5
simd_mul,11001000,0.0084074180,5
seq_mul_reduce,11001000,0.0830395780,5
simd_mul_reduce,11001000,0.0057948340,5
seq_mul,11001000,0.0550337490,6
simd_mul,11001000,0.0080552050,6
seq_mul_reduce,11001000,0.0830747260,6
simd_mul_reduce,11001000,0.0057860600,6
seq_mul,11001000,0.0570367270,7
simd_mul,11001000,0.0095813000,7
seq_mul_reduce,11001000,0.0850716850,7
simd_mul_reduce,11001000,0.0057772800,7
seq_mul,11001000,0.0550435660,8
simd_mul,11001000,0.0080636400,8
seq_mul_reduce,11001000,0.0833768530,8
simd_mul_reduce,11001000,0.0059373230,8
seq_mul,11001000,0.0568690590,9
simd_mul,11001000,0.0085937600,9
seq_mul_reduce,11001000,0.0858729010,9
simd_mul_reduce,11001000,0.0059780540,9
seq_mul,12001000,0.0623306010,0
simd_mul,12001000,0.0122682980,0
seq_mul_reduce,12001000,0.0940974270,0
simd_mul_reduce,12001000,0.0065990270,0
seq_mul,12001000,0.0626963900,1
simd_mul,12001000,0.0096635180,1
seq_mul_reduce,12001000,0.0940307550,1
simd_mul_reduce,12001000,0.0066014260,1
seq_mul,12001000,0.0618412800,2
simd_mul,12001000,0.0121441320,2
seq_mul_reduce,12001000,0.0916434930,2
simd_mul_reduce,12001000,0.0063976520,2
seq_mul,12001000,0.0600574300,3
simd_mul,12001000,0.0115813280,3
seq_mul_reduce,12001000,0.0923112370,3
simd_mul_reduce,12001000,0.0066341970,3
seq_mul,12001000,0.0616710130,4
simd_mul,12001000,0.0119829670,4
seq_mul_reduce,12001000,0.0924709370,4
simd_mul_reduce,12001000,0.0064879350,4
seq_mul,12001000,0.0613377030,5
simd_mul,12001000,0.0118784410,5
seq_mul_reduce,12001000,0.0925781540,5
simd_mul_reduce,12001000,0.0065449800,5
seq_mul,12001000,0.0612267810,6
simd_mul,12001000,0.0118290390,6
seq_mul_reduce,12001000,0.0934338500,6
simd_mul_reduce,12001000,0.0067092710,6
seq_mul,12001000,0.0601311260,7
simd_mul,12001000,0.0101086430,7
seq_mul_reduce,12001000,0.0907191130,7
simd_mul_reduce,12001000,0.0065967210,7
seq_mul,12001000,0.0612672650,8
simd_mul,12001000,0.0102593370,8
seq_mul_reduce,12001000,0.0924266110,8
simd_mul_reduce,12001000,0.0065114790,8
seq_mul,12001000,0.0613448360,9
simd_mul,12001000,0.0103175760,9
seq_mul_reduce,12001000,0.0929997690,9
simd_mul_reduce,12001000,0.0064453470,9
seq_mul,13001000,0.0664079670,0
simd_mul,13001000,0.0113830720,0
seq_mul_reduce,13001000,0.1004144850,0
simd_mul_reduce,13001000,0.0070999850,0
seq_mul,13001000,0.0661979900,1
simd_mul,13001000,0.0103368740,1
seq_mul_reduce,13001000,0.0980204920,1
simd_mul_reduce,13001000,0.0068859600,1
seq_mul,13001000,0.0653612260,2
simd_mul,13001000,0.0103160770,2
seq_mul_reduce,13001000,0.1004687930,2
simd_mul_reduce,13001000,0.0069989230,2
seq_mul,13001000,0.0662707470,3
simd_mul,13001000,0.0109695640,3
seq_mul_reduce,13001000,0.1016736440,3
simd_mul_reduce,13001000,0.0070965180,3
seq_mul,13001000,0.0666772220,4
simd_mul,13001000,0.0129291670,4
seq_mul_reduce,13001000,0.1003645010,4
simd_mul_reduce,13001000,0.0070602920,4
seq_mul,13001000,0.0673358740,5
simd_mul,13001000,0.0103346000,5
seq_mul_reduce,13001000,0.0987527650,5
simd_mul_reduce,13001000,0.0069085990,5
seq_mul,13001000,0.0650246990,6
simd_mul,13001000,0.0102429020,6
seq_mul_reduce,13001000,0.1002888540,6
simd_mul_reduce,13001000,0.0070340430,6
seq_mul,13001000,0.0662718210,7
simd_mul,13001000,0.0103329350,7
seq_mul_reduce,13001000,0.1011566410,7
simd_mul_reduce,13001000,0.0071934020,7
seq_mul,13001000,0.0673696810,8
simd_mul,13001000,0.0101764950,8
seq_mul_reduce,13001000,0.0992520430,8
simd_mul_reduce,13001000,0.0069628680,8
seq_mul,13001000,0.0656627940,9
simd_mul,13001000,0.0100889660,9
seq_mul_reduce,13001000,0.1000975010,9
simd_mul_reduce,13001000,0.0069887800,9
seq_mul,14001000,0.0727286000,0
simd_mul,14001000,0.0118179900,0
seq_mul_reduce,14001000,0.1117940720,0
simd_mul_reduce,14001000,0.0078420670,0
seq_mul,14001000,0.0725165480,1
simd_mul,14001000,0.0140692780,1
seq_mul_reduce,14001000,0.1107151210,1
simd_mul_reduce,14001000,0.0080594080,1
seq_mul,14001000,0.0722114090,2
simd_mul,14001000,0.0116291860,2
seq_mul_reduce,14001000,0.1068300680,2
simd_mul_reduce,14001000,0.0074957990,2
seq_mul,14001000,0.0705742180,3
simd_mul,14001000,0.0111549210,3
seq_mul_reduce,14001000,0.1077566550,3
simd_mul_reduce,14001000,0.0075237420,3
seq_mul,14001000,0.0715239410,4
simd_mul,14001000,0.0137516780,4
seq_mul_reduce,14001000,0.1105506220,4
simd_mul_reduce,14001000,0.0074434350,4
seq_mul,14001000,0.0708219050,5
simd_mul,14001000,0.0119193960,5
seq_mul_reduce,14001000,0.1056781560,5
simd_mul_reduce,14001000,0.0074152560,5
seq_mul,14001000,0.0696667870,6
simd_mul,14001000,0.0107901130,6
seq_mul_reduce,14001000,0.1056574250,6
simd_mul_reduce,14001000,0.0074385220,6
seq_mul,14001000,0.0698401980,7
simd_mul,14001000,0.0108788710,7
